Job 85: Waiting time = 0.005257999999999985 | Resolution time = 0.0012862000000000151 | Resolution type = None
Job 86: Waiting time = 0.00023919999999977293 | Resolution time = 0.00022520000000003648 | Resolution type = Policy
Job 87: Waiting time = 0.0009928999999999633 | Resolution time = 0.0009757999999999711 | Resolution type = Policy
Job 88: Waiting time = 0.0006784999999998043 | Resolution time = 0.0006500000000002615 | Resolution type = Policy
Job 89: Waiting time = 0.0013909000000000837 | Resolution time = 0.0012191000000001395 | Resolution type = Policy
Job 90: Waiting time = 0.001661400000000146 | Resolution time = 0.0001799000000000106 | Resolution type = Policy
Job 91: Waiting time = 0.0008021000000000278 | Resolution time = 0.000549600000000261 | Resolution type = Policy
Job 92: Waiting time = 0.0012868999999997577 | Resolution time = 0.00050080000000019 | Resolution type = Policy
Job 93: Waiting time = 0.0008830999999998035 | Resolution time = 0.0008038999999997465 | Resolution type = Policy
Job 94: Waiting time = 0.00015769999999992734 | Resolution time = 9.630000000004912e-05 | Resolution type = Policy
Job 95: Waiting time = 0.0016365000000000407 | Resolution time = 0.0016028000000001263 | Resolution type = None
Job 96: Waiting time = 0.0011760000000000659 | Resolution time = 0.001123499999999833 | Resolution type = Policy
Job 97: Waiting time = 0.001683499999999949 | Resolution time = 0.001622699999999977 | Resolution type = Policy
Job 98: Waiting time = 0.0029426999999997427 | Resolution time = 0.0012756999999998797 | Resolution type = None
Job 99: Waiting time = 0.0014815000000001355 | Resolution time = 0.0009411999999997533 | Resolution type = Policy
Job 100: Waiting time = 0.0015206999999999304 | Resolution time = 0.0015054999999999374 | Resolution type = None
Job 101: Waiting time = 0.00026549999999980756 | Resolution time = 0.00024259999999998172 | Resolution type = Policy
Job 102: Waiting time = 0.0017564999999999387 | Resolution time = 0.0017268999999999757 | Resolution type = None
Job 103: Waiting time = 0.000949899999999726 | Resolution time = 0.0009311000000002956 | Resolution type = Policy
Job 104: Waiting time = 0.0011305999999997596 | Resolution time = 0.0010989000000001248 | Resolution type = Policy
Job 105: Waiting time = 0.001545399999999919 | Resolution time = 0.0015225999999999296 | Resolution type = None
Job 106: Waiting time = 0.0019898000000000415 | Resolution time = 0.0019447000000001324 | Resolution type = None
Job 107: Waiting time = 0.0007158999999998805 | Resolution time = 0.0006531000000000731 | Resolution type = Policy
Job 108: Waiting time = 0.0019336999999999271 | Resolution time = 0.001229100000000205 | Resolution type = None
Job 109: Waiting time = 0.002003499999999825 | Resolution time = 7.130000000010739e-05 | Resolution type = Policy
Job 110: Waiting time = 0.0024999000000001104 | Resolution time = 0.0004939999999997724 | Resolution type = Policy
Job 111: Waiting time = 0.0015908000000002254 | Resolution time = 0.0015279999999999738 | Resolution type = None
Job 112: Waiting time = 0.002306499999999989 | Resolution time = 0.0007385000000001973 | Resolution type = Policy
Job 113: Waiting time = 0.003512600000000088 | Resolution time = 0.0012087999999996768 | Resolution type = None
Job 114: Waiting time = 0.0009755999999998544 | Resolution time = 0.0009479999999997268 | Resolution type = Policy
Job 115: Waiting time = 0.0014929000000001302 | Resolution time = 0.0014708999999997197 | Resolution type = Policy
Job 116: Waiting time = 0.002652599999999783 | Resolution time = 0.0025826000000002125 | Resolution type = None
Job 117: Waiting time = 0.001493100000000247 | Resolution time = 0.0014312999999996912 | Resolution type = None
Job 118: Waiting time = 0.0015366999999999464 | Resolution time = 6.349999999999412e-05 | Resolution type = Policy
Job 119: Waiting time = 0.0016968999999997791 | Resolution time = 0.0016691999999998153 | Resolution type = None
Job 120: Waiting time = 0.0006398999999999155 | Resolution time = 0.0006128999999996942 | Resolution type = Policy
Job 121: Waiting time = 0.0012609000000001203 | Resolution time = 0.0011966000000001031 | Resolution type = Policy
Job 122: Waiting time = 0.0033631999999998996 | Resolution time = 0.0021004000000002243 | Resolution type = Policy
Job 123: Waiting time = 0.004651299999999914 | Resolution time = 0.0012848999999999222 | Resolution type = Policy
Job 124: Waiting time = 0.0014510000000003132 | Resolution time = 0.0014262000000004882 | Resolution type = Policy
Job 125: Waiting time = 0.0008470999999996565 | Resolution time = 0.0008318000000002712 | Resolution type = Policy
Job 126: Waiting time = 0.0010281000000000873 | Resolution time = 0.0010051999999998174 | Resolution type = Policy
Job 127: Waiting time = 0.0015663999999997458 | Resolution time = 0.001497099999999918 | Resolution type = None
Job 128: Waiting time = 0.002790500000000584 | Resolution time = 0.0012423999999997548 | Resolution type = None
Job 129: Waiting time = 0.003918999999999784 | Resolution time = 0.001132300000000086 | Resolution type = None
Job 130: Waiting time = 0.005055599999999494 | Resolution time = 0.0011400999999997552 | Resolution type = None
Job 131: Waiting time = 0.0004456999999993272 | Resolution time = 0.0004286999999996155 | Resolution type = Policy
Job 132: Waiting time = 0.0027790999999997013 | Resolution time = 0.0027073000000008562 | Resolution type = Policy
Job 133: Waiting time = 0.005534299999999881 | Resolution time = 0.002742800000000045 | Resolution type = Policy
Job 134: Waiting time = 0.00936919999999919 | Resolution time = 0.0038012000000007262 | Resolution type = None
Job 135: Waiting time = 0.00028570000000005535 | Resolution time = 0.00024319999999988795 | Resolution type = Policy
Job 136: Waiting time = 0.004841500000000387 | Resolution time = 0.004801999999999751 | Resolution type = None
Job 137: Waiting time = 0.0017905000000002502 | Resolution time = 0.001766199999999607 | Resolution type = None
Job 138: Waiting time = 0.0020908999999997846 | Resolution time = 0.0020679999999995147 | Resolution type = None
Job 139: Waiting time = 0.0014104999999995371 | Resolution time = 0.0013870000000002491 | Resolution type = None
Job 140: Waiting time = 0.002066799999999702 | Resolution time = 0.002052099999999335 | Resolution type = None
Job 141: Waiting time = 0.001910999999999774 | Resolution time = 0.0018897999999989423 | Resolution type = None
Job 142: Waiting time = 0.0005613999999996011 | Resolution time = 0.0005375999999994718 | Resolution type = Policy
Job 143: Waiting time = 0.0019876999999999256 | Resolution time = 0.0018715999999994182 | Resolution type = Policy
Job 144: Waiting time = 0.0037173999999993157 | Resolution time = 0.0017956000000003414 | Resolution type = None
Job 145: Waiting time = 0.01403340000000064 | Resolution time = 0.003226299999999682 | Resolution type = None
Job 146: Waiting time = 0.01450830000000014 | Resolution time = 0.0004780000000002005 | Resolution type = Policy
Job 147: Waiting time = 0.014975799999999317 | Resolution time = 0.00047010000000025087 | Resolution type = Policy
Job 148: Waiting time = 0.015059200000000494 | Resolution time = 8.799999999986596e-05 | Resolution type = Policy
Job 149: Waiting time = 0.01600550000000034 | Resolution time = 0.0009413000000000338 | Resolution type = Policy
Job 150: Waiting time = 0.01722149999999978 | Resolution time = 0.0012194000000000926 | Resolution type = None
Job 151: Waiting time = 0.018352100000000426 | Resolution time = 0.001137600000000738 | Resolution type = None
Job 152: Waiting time = 0.0040874999999998 | Resolution time = 0.004060400000000186 | Resolution type = None
Job 153: Waiting time = 0.0006957000000005209 | Resolution time = 0.0006711999999993168 | Resolution type = Policy
Job 154: Waiting time = 0.000901899999999678 | Resolution time = 0.0008489999999996556 | Resolution type = Policy
Job 155: Waiting time = 0.0023621000000000336 | Resolution time = 0.0014641000000006343 | Resolution type = None
Job 156: Waiting time = 0.0036690999999997587 | Resolution time = 0.0013038999999990253 | Resolution type = None
Job 157: Waiting time = 0.002060600000000079 | Resolution time = 0.0020430999999998534 | Resolution type = None
Job 158: Waiting time = 0.0008511000000002156 | Resolution time = 0.0007985000000001463 | Resolution type = Policy
Job 159: Waiting time = 0.0022594999999991927 | Resolution time = 0.001415500000000236 | Resolution type = None
Job 160: Waiting time = 0.003132599999999819 | Resolution time = 0.0008731000000006262 | Resolution type = Policy
Job 161: Waiting time = 0.0008081000000004224 | Resolution time = 0.0007828000000005275 | Resolution type = Policy
Job 162: Waiting time = 0.0007732999999996437 | Resolution time = 0.000579499999999733 | Resolution type = Policy
Job 163: Waiting time = 0.0023577999999995214 | Resolution time = 0.0023335999999991586 | Resolution type = None
Job 164: Waiting time = 0.001905400000000057 | Resolution time = 0.0018879000000007196 | Resolution type = Policy
Job 165: Waiting time = 0.0022820000000001173 | Resolution time = 0.002262700000000173 | Resolution type = None
Job 166: Waiting time = 0.00034679999999998046 | Resolution time = 0.0003267000000004572 | Resolution type = Policy
Job 167: Waiting time = 0.001734199999999575 | Resolution time = 0.0017151000000001915 | Resolution type = None
